facility;item_number;part_name;part_description;net_weight;customs_statistical
SDC;5535210500;COVER;COVER;0;84314980
D36;5535211200;BRACKET;BRACKET-FIRE SUPP TANK A101-20;2,939;72169110
SDC;5535211200;BRACKET;BRACKET-FIRE SUPP TANK A101-20;2,939;84314300
SDC;5535212400;RING-SNAP;RING-SNAP;0,045;84314980
SDC;5535212700;RETAINER;RETAINER    -SPRING;0;84314980
SDC;5535213000;SPRING;SPRING;0;84314980
SDC;5535213300;HOUSING;HOUSING;4,091;84314980
SDC;5535214700;WAGNER PART;BELL;1,048;84314980
SDC;5535214800;WAGNER PART;BELL;0,549;84314980
SDC;5535215300;RING;RING;0;84314980
SDC;5534467700;GEAR;GEAR;0;84834021
SDC;5534469200;HEAD;HEAD;0;84314980
SDC;5534469300;WIPER;WIPER;0,045;84314980
SDC;5534469500;SEAL;SEAL;0,045;84314980
SDC;5534469700;PISTON SYS;PISTON SYS;0;84314980
SDC;5534470000;O-RING-VITON;O-RING-VITON;0,045;84314980
SDC;5534470100;WAGNER PART;WASHER;0,045;73182200
SDC;5534470400;SHIM;SHIM;0,045;84314980
SDC;5534470600;SPRING;SPRING;0,113;84314980
